Company,Month,Revenue,Expenses,Profit,YoY_Growth,Customer_Count,Avg_Transaction
TechStart Inc,October,245000,189000,56000,12.5,450,544.44
TechStart Inc,November,238000,195000,43000,-2.9,438,543.38
TechStart Inc,December,312000,201000,111000,27.3,520,600.00
FinServe Co,October,189000,145000,44000,8.2,320,590.63
FinServe Co,November,195000,152000,43000,3.2,315,619.05
FinServe Co,December,201000,158000,43000,3.1,310,648.39
RetailHub Ltd,October,567000,489000,78000,-5.4,2340,242.31
RetailHub Ltd,November,523000,467000,56000,-7.8,2180,239.91
RetailHub Ltd,December,689000,512000,177000,21.5,2890,238.41
ConsultPro,October,128000,98000,30000,15.2,45,2844.44
ConsultPro,November,135000,102000,33000,5.5,48,2812.50
ConsultPro,December,142000,107000,35000,5.2,50,2840.00
EcomGrowth,October,423000,356000,67000,22.8,8900,47.53
EcomGrowth,November,467000,389000,78000,10.4,9450,49.42
EcomGrowth,December,512000,421000,91000,9.6,10200,50.20
MediaCorp,October,678000,589000,89000,8.9,1200,565.00
MediaCorp,November,645000,598000,47000,-4.9,1180,546.61
MediaCorp,December,712000,612000,100000,10.4,1250,569.60
